locatie,month,hours_count,monthly_total_m3,monthly_mean_m3_per_h,monthly_median_m3_per_h,monthly_std_m3_per_h,expected_hours,percent_coverage,year
KGM00357_COMBINED,2003-09-30,30,150115.68,5003.856,8316.0,4262.486650173532,720,4.166666666666666,2003
KGM00357_COMBINED,2003-10-31,31,297424.73,9594.346129032258,10692.0,1186.9804892939549,744,4.166666666666666,2003
KGM00357_COMBINED,2003-11-30,30,189813.39,6327.113,8316.0,4123.842143200382,720,4.166666666666666,2003
KGM00357_COMBINED,2003-12-31,31,280715.51,9055.339032258065,8316.0,3015.21223956607,744,4.166666666666666,2003
KGM00357_COMBINED,2004-01-31,31,268020.72,8645.829677419353,8316.0,4157.012637343058,744,4.166666666666666,2004
KGM00357_COMBINED,2004-02-29,29,274428.0,9463.034482758621,8316.0,1208.309163452285,696,4.166666666666666,2004
KGM00357_COMBINED,2004-03-31,31,274971.85,8870.059677419355,8316.0,2677.8787888258175,744,4.166666666666666,2004
KGM00357_COMBINED,2004-04-30,30,227045.95,7568.198333333334,8316.0,3895.0144748631774,720,4.166666666666666,2004
KGM00357_COMBINED,2004-05-31,31,90172.19,2908.780322580645,0.0,4728.956939453268,744,4.166666666666666,2004
KGM00357_COMBINED,2004-06-30,30,101027.56,3367.5853333333334,0.0,4764.085347785488,720,4.166666666666666,2004
KGM00357_COMBINED,2004-07-31,31,48048.659999999996,1549.9567741935482,0.0,3682.636785457206,744,4.166666666666666,2004
KGM00357_COMBINED,2004-08-31,31,108010.01,3484.193870967742,0.0,5930.039206717314,744,4.166666666666666,2004
KGM00357_COMBINED,2004-09-30,30,57928.21,1930.9403333333332,0.0,3904.956085291934,720,4.166666666666666,2004
KGM00357_COMBINED,2004-10-31,31,99248.59,3201.5674193548384,0.0,4344.292743160822,744,4.166666666666666,2004
KGM00357_COMBINED,2004-11-30,30,239747.37,7991.579,9420.86,5228.972486782327,720,4.166666666666666,2004
KGM00357_COMBINED,2004-12-31,31,129410.54,4174.533548387097,0.0,4964.51120852164,744,4.166666666666666,2004
KGM00357_COMBINED,2005-01-31,31,139256.43,4492.142903225807,3733.31,4493.941433582324,744,4.166666666666666,2005
KGM00357_COMBINED,2005-02-28,28,144840.32,5172.868571428572,3720.26,4740.564274085799,672,4.166666666666666,2005
KGM00357_COMBINED,2005-03-31,31,167244.01,5394.96806451613,7624.01,5574.124675634384,744,4.166666666666666,2005
KGM00357_COMBINED,2005-04-30,30,145448.5,4848.283333333334,3302.64,5073.482411297021,720,4.166666666666666,2005
KGM00357_COMBINED,2005-05-31,31,146236.26,4717.2987096774195,2180.63,4981.065152137469,744,4.166666666666666,2005
KGM00357_COMBINED,2005-06-30,30,124314.3,4143.81,267.3,4685.628762251805,720,4.166666666666666,2005
KGM00357_COMBINED,2005-07-31,31,124116.95,4003.7725806451613,2649.24,4196.957760302072,744,4.166666666666666,2005
KGM00357_COMBINED,2005-08-31,31,178368.34,5753.817419354838,4505.51,6429.917819421939,744,4.166666666666666,2005
KGM00357_COMBINED,2005-09-30,30,94703.44,3156.7813333333334,0.0,4341.117214118434,720,4.166666666666666,2005
KGM00357_COMBINED,2005-10-31,31,129953.02,4192.032903225807,0.0,5091.516058853325,744,4.166666666666666,2005
KGM00357_COMBINED,2005-11-30,30,180451.26,6015.042,6275.610000000001,6132.095887160751,720,4.166666666666666,2005
KGM00357_COMBINED,2005-12-31,31,149042.84,4807.833548387097,542.84,5075.067910766349,744,4.166666666666666,2005
KGM00357_COMBINED,2006-01-31,31,100368.18,3237.6832258064514,0.0,4641.449493285754,744,4.166666666666666,2006
KGM00357_COMBINED,2006-02-28,28,130760.53,4670.018928571429,1979.675,4944.939499329809,672,4.166666666666666,2006
KGM00357_COMBINED,2006-03-31,31,198859.0,6414.806451612903,8316.0,3557.511997531935,744,4.166666666666666,2006
KGM00357_COMBINED,2006-04-30,30,140858.57,4695.285666666667,876.655,5141.14354753525,720,4.166666666666666,2006
KGM00357_COMBINED,2006-05-31,31,122111.53,3939.081612903226,0.0,5008.405420515993,744,4.166666666666666,2006
KGM00357_COMBINED,2006-06-30,30,165106.91,5503.563666666667,709.165,6587.151957266028,720,4.166666666666666,2006
KGM00357_COMBINED,2006-07-31,31,189380.77,6109.057096774193,4312.44,6344.34205334916,744,4.166666666666666,2006
KGM00357_COMBINED,2006-08-31,31,159813.76,5155.282580645162,863.93,5958.641648094509,744,4.166666666666666,2006
KGM00357_COMBINED,2006-09-30,30,75259.89,2508.663,0.0,3987.8951388395785,720,4.166666666666666,2006
KGM00357_COMBINED,2006-10-31,31,124933.72,4030.12,0.0,5314.2516738295335,744,4.166666666666666,2006
